datetime,SST,SSS,age_absolute,synthetic_d18o,synthetic_d18o_2
1946-11-15,29.549205,34.519874,1946.874,0.136507,0.136507
1946-12-15,29.512619,34.345121,1946.9562,0.171531,0.171531
1947-01-15,29.183582,34.318583,1947.0411,-0.129523,-0.129523
1947-02-15,29.675838,34.323611,1947.1232,-0.132755,-0.132755
1947-03-15,29.927386,34.176941,1947.2033,-0.02261,-0.02261
1947-04-15,29.744619,34.052437,1947.2881,-0.174985,-0.174985
1947-05-15,29.698097,34.211983,1947.3703,0.047518,0.047518
1947-06-15,29.306042,34.394122,1947.4552,0.043798,0.043798
1947-07-15,27.904164,34.442902,1947.5373,0.332833,0.332833
1947-08-15,28.132722,34.509891,1947.6222,0.361625,0.361625
1947-09-15,27.944313,34.540847,1947.707,0.358772,0.358772
1947-10-15,28.851076,34.583544,1947.7892,0.221307,0.221307
1947-11-15,28.827275,34.629308,1947.874,0.01772,0.01772
1947-12-15,29.530563,34.584208,1947.9562,-0.035841,-0.035841
1948-01-15,30.17454,34.37791,1948.0411,-0.148131,-0.148131
1948-02-15,30.157322,34.264539,1948.1232,-0.035516,-0.035516
1948-03-15,29.835872,34.371495,1948.2033,-0.127459,-0.127459
1948-04-15,29.802859,34.290303,1948.2881,-0.237168,-0.237168
1948-05-15,28.989288,34.054978,1948.3703,-0.185766,-0.185766
1948-06-15,29.115143,34.555812,1948.4552,0.051083,0.051083
1948-07-15,28.871077,34.364829,1948.5373,0.224193,0.224193
1948-08-15,28.101963,34.593304,1948.6222,0.227951,0.227951
1948-09-15,27.644367,34.546173,1948.707,0.268929,0.268929
1948-10-15,28.897646,34.549042,1948.7892,0.088636,0.088636
1948-11-15,29.133349,34.395619,1948.874,-0.030904,-0.030904
1948-12-15,30.041651,34.33052,1948.9562,-0.117795,-0.117795
1949-01-15,29.661673,34.291871,1949.0411,-0.071767,-0.071767
1949-02-15,29.320147,34.23407,1949.1232,-0.101059,-0.101059
