sample #,age_absolute,d18o
463,1988.549,25.8262385
464,1988.620429,25.84334351
465,1988.632333,25.56444569
466,1988.749,25.45411057
467,1988.763286,25.72635661
468,1988.799,25.79345768
469,1988.906143,25.74630173
470,1989.049,25.57603111
471,1989.049,26.04104786
472,1989.299,25.5763271
473,1989.399,25.91165298
474,1989.549,25.86208022
475,1989.674,25.88207352
476,1989.749,25.89692454
477,1989.799,25.8458231
478,1989.924,25.61922023
479,1990.049,25.41990858
480,1990.174,25.49692235
481,1990.299,25.61190811
482,1990.424,25.79472986
483,1990.549,25.93831529
484,1990.799,25.84042611
485,1991.049,25.55369583
486,1991.149,25.26714196
487,1991.249,25.27977217
488,1991.349,25.38652009
489,1991.449,25.58705982
490,1991.549,25.65996447
491,1991.715667,25.5791018
492,1991.882333,25.54485571
493,1992.049,25.29068964
494,1992.174,25.23441847
495,1992.299,25.46315847
496,1992.424,25.60193645
497,1992.549,25.54725502
498,1992.715667,25.46831092
499,1992.882333,25.3173972
500,1993.049,25.3579361
501,1993.299,25.48575642
502,1993.549,25.66515269
503,1993.715667,25.71277535
504,1993.882333,25.65285816
505,1994.049,25.52250964
506,1994.174,25.60874381
507,1994.299,25.66436909
508,1994.424,25.7864043
509,1994.549,25.97108337
510,1994.674,25.98655836
511,1994.799,25.81846573
512,1994.924,25.49082556
513,1995.049,25.55858707
514,1995.215667,25.58260864
515,1995.382333,25.54277836
516,1995.549,25.64603463
517,1995.715667,25.48146549
518,1995.882333,25.36523793
519,1996.049,25.42776075
520,1996.174,25.43226093
521,1996.299,25.3990861
522,1996.424,25.57068068
523,1996.549,25.62594821
524,1996.715667,25.65087638
525,1996.882333,25.34905482
526,1997.049,25.47020303
527,1997.174,25.30684188
528,1997.299,25.48282491
529,1997.424,25.64259933
530,1997.549,25.56526507
531,1997.674,25.4219085
532,1997.799,25.32952216
533,1997.924,25.22645996
534,1998.049,25.21676567
535,1998.215667,25.46998152
536,1998.382333,25.52690299
537,1998.549,25.73928493
538,1998.799,25.54161497
539,1999.049,25.41341779
540,1999.382333,25.28500254
541,1999.715667,25.23475171
542,2000.049,25.25934419
543,2000.299,25.41129977
544,2000.549,25.62639906
545,2000.799,25.59298361
546,2001.049,25.69899155
547,2001.299,25.60014137
548,2001.549,25.42553589
549,2001.799,25.33705285
550,2002.049,25.40271938
551,2002.299,25.40597041
552,2002.549,25.55140579
553,2002.715667,25.71276065
554,2002.882333,25.37463329
555,2003.049,25.23417001
556,2003.299,25.14220267
557,2003.549,25.40891466
558,2003.799,25.53887408
559,2004.049,25.78769658
560,2004.215667,25.74679308
561,2004.382333,25.49498222
562,2004.549,25.23971597
563,2004.715667,25.33173281
564,2004.882333,25.36852278
565,2005.049,25.3808075
566,2005.299,25.68573651
567,2005.549,25.45355435
568,2005.715667,25.3540279
569,2005.882333,25.18395054
570,2006.049,25.20064332
571,2006.382333,25.22886025
572,2006.715667,25.39224149
573,2007.049,25.55468672
574,2007.149,25.59879323
