,sample,age1,path,sample1,age_lin
60,N 41A,,N,41,6.555555555555555
61,N 42A,,N,42,6.666666666666667
62,N 43A,,N,43,6.777777777777778
63,N 44A,,N,44,6.888888888888889
64,N 45A,7.0,N,45,7.0
65,N 46A,,N,46,7.125
66,N 47A,,N,47,7.25
67,N 48A,,N,48,7.375
68,N 49A,,N,49,7.5
69,N 50A,,N,50,7.625
70,N 51A,,N,51,7.75
71,N 52A,,N,52,7.875
72,N 53A,8.0,N,53,8.0
73,N 54A,,N,54,8.125
74,N 55A,,N,55,8.25
75,N 56A,,N,56,8.375
76,N 57A,,N,57,8.5
77,N 58A,,N,58,8.625
78,N 59A,,N,59,8.75
79,N 60A,,N,60,8.875
80,N 61A,9.0,N,61,9.0
81,M 1A,,M,1,
82,M 2A,8.0,M,2,8.0
83,M 3A,,M,3,8.142857142857142
84,M 4A,,M,4,8.285714285714286
85,M 5A,,M,5,8.428571428571429
86,M 6A,,M,6,8.571428571428571
87,M 7A,,M,7,8.714285714285714
88,M 8A,,M,8,8.857142857142858
89,M 9A,9.0,M,9,9.0
90,M 10A,,M,10,9.2
91,M 11A,,M,11,9.4
92,M 12A,,M,12,9.6
93,M 13A,,M,13,9.8
94,M 14A,10.0,M,14,10.0
95,M 15A,,M,15,10.2
96,M 16A,,M,16,10.4
97,M 17A,,M,17,10.6
98,M 18A,,M,18,10.8
99,M 19A,11.0,M,19,11.0
100,M 20A,,M,20,11.166666666666666
101,M 21A,,M,21,11.333333333333334
102,M 22A,,M,22,11.5
103,M 23A,,M,23,11.666666666666666
104,M 24A,,M,24,11.833333333333334
105,M 25A,12.0,M,25,12.0
106,M 26A,12.0,M,26,12.0
107,M 27A,,M,27,12.2
108,M 28A,,M,28,12.4
109,M 29A,,M,29,12.6
110,M 30A,,M,30,12.8
111,M 31A,13.0,M,31,13.0
112,M 32A,13.0,M,32,13.0
113,M 33A,,M,33,13.25
114,M 34A,,M,34,13.5
115,M 35A,,M,35,13.75
116,M 36A,14.0,M,36,14.0
117,M 37A,,M,37,14.25
118,M 38A,,M,38,14.5
119,M 39A,,M,39,14.75
120,M 40A,15.0,M,40,15.0
121,M 41A,,M,41,15.2
122,M 42A,,M,42,15.4
123,M 43A,,M,43,15.6
124,M 44A,,M,44,15.8
125,M 45A,16.0,M,45,16.0
126,M 46A,,M,46,16.166666666666668
127,M 47A,,M,47,16.333333333333332
128,M 48A,,M,48,16.5
129,M 49A,,M,49,16.666666666666668
130,M 50A,,M,50,16.833333333333332
131,M 51A,17.0,M,51,17.0
