sample,age1
H 47A,
H 48A,
H 49A,68
H 50A,68
H 51A,
H 52A,
H 53A,
H 54A,69
H 55A,69
H 56A,
H 57A,
H 58A,
H 59A,
H 60A,
H 61A,
H 62A,70
H 63A,
H 64A,
H 65A,
H 66A,
H 67A,
H 68A,
H 69A,
H 70A,71
H 71A,
H 72A,
H 73A,
H 74A,
H 75A,72
H 76A,72
H 77A,
H 78A,
H 79A,
H 80A,
H 81A,
H 82A,
H 83A,
H 84A,73
H 85A,
H 86A,
H 87A,
H 88A,74
H 89A,
H 90A,
H 91A,
H 92A,75
H 93A,75
H 94A,
H 95A,
H 96A,
H 97A,76
H 98A,76
H 99A,
H 100A,
H 101A,
H 102A,77
H 103A,
H 104A,
H 105A,
H 106A,78
H 107A,
H 108A,
H 109A,79
H 110A,79
H 111A,
H 112A,
H 113A,
