name,path,path_num,d18o_pdb,age_orig,age_edited,delta_days
12 SPL A4 M 87A,M,87,-4.96616,1957.100135,1957.414989,115.00
12 SPL A4 M 88A,M,88,-4.86009,1957.250614,1957.464989,78.30
12 SPL A4 M 89A,M,89,-4.89737,1957.384725,1957.576121,69.91
12 SPL A4 M 90A,M,90,-4.71970,1957.518836,1957.626121,39.19
12 SPL A4 M 91A,M,91,-4.96112,1957.652947,1957.828188,64.01
12 SPL A4 M 92A,M,92,-5.03704,1957.736767,1957.878188,51.65
12 SPL A4 M 93A,M,93,-5.14703,1957.820586,1957.966883,53.44
12 SPL A4 M 94A,M,94,-5.25761,1957.904406,1958.040633,49.76
12 SPL A4 M 95A,M,95,-5.85458,1957.988225,1958.115016,46.31
12 SPL A4 M 96A,M,96,-5.25146,1958.211744,1958.260510,17.81
12 SPL A4 M 97A,M,97,-5.07952,1958.382366,1958.382366,0.00
12 SPL A4 M 98A,M,98,-5.00616,1958.541234,1958.541234,0.00
12 SPL A4 M 99A,M,99,-5.01874,1958.691196,1958.691196,0.00
12 SPL A4 M 100A,M,100,-5.32349,1958.917564,1958.917564,0.00
12 SPL A4 M 101A,M,101,-5.23548,1959.020507,1959.020507,0.00
12 SPL A4 M 102A,M,102,-5.16414,1959.173099,1959.173099,0.00
12 SPL A4 M 103A,M,103,-5.33555,1959.389321,1959.389321,0.00
12 SPL A4 M 104A,M,104,-5.10953,1959.439321,1959.439321,0.00
12 SPL A4 M 105A,M,105,-4.83308,1959.592406,1959.592406,0.00
12 SPL A4 M 106A,M,106,-4.87546,1959.741000,1959.741000,0.00
12 SPL A4 M 107A,M,107,-5.12847,1959.817448,1959.817448,0.00
12 SPL A4 M 108A,M,108,-5.31497,1959.899779,1959.899779,0.00
12 SPL A4 M 109A,M,109,-5.45167,1960.008552,1960.008552,0.00
12 SPL A4 M 110A,M,110,-5.29566,1960.089679,1960.089679,0.00
SPL A4 Path L 1A,L,1,-5.23349,1960.279862,1960.279862,0.00
SPL A4 Path L 2A,L,2,-5.05264,1960.403823,1960.403823,0.00
SPL A4 Path L 3A,L,3,-4.93823,1960.515924,1960.515924,0.00
SPL A4 Path L 4A,L,4,-5.07399,1960.602644,1960.602644,0.00
SPL A4 Path L 5A,L,5,-5.09186,1960.811332,1960.811332,0.00
SPL A4 Path L 6A,L,6,-5.14789,1960.984475,1960.984475,0.00
SPL A4 Path L 7A,L,7,-5.27495,1961.159339,1961.159339,0.00
SPL A4 Path L 8A,L,8,-5.12336,1961.289747,1961.289747,0.00
SPL A4 Path L 9A,L,9,-4.95937,1961.468062,1961.468062,0.00
SPL A4 Path L 10A,L,10,-4.91569,1961.544777,1961.544777,0.00
SPL A4 Path L 11A,L,11,-4.89644,1961.641691,1961.641691,0.00
SPL A4 Path L 12A,L,12,-5.09006,1961.799256,1961.799256,0.00
SPL A4 Path L 13A,L,13,-5.04116,1961.875704,1961.875704,0.00
SPL A4 Path L 14A,L,14,-5.16879,1961.946274,1961.946274,0.00
SPL A4 Path L 15A,L,15,-5.09081,1962.030871,1962.030871,0.00
SPL A4 Path L 16A,L,16,-4.96410,1962.199104,1962.199104,0.00
SPL A4 Path L 17A,L,17,-5.02420,1962.378797,1962.378797,0.00
SPL A4 Path L 18A,L,18,-4.72080,1962.586524,1962.586524,0.00
SPL A4 Path L 19A,L,19,-4.90607,1962.723303,1962.723303,0.00
