decimal_year,d13c,d18o,d18o_pdb,calendar_year
1999.3333333333328,-2.2644168,-5.2718281000000005,-35.103725975281,1999.7846319301843
1999.4666666666662,-2.2962375999999995,-5.386021900000001,-35.214495103219,1999.8744535249825
1999.5999999999997,-2.1759151999999995,-5.281845100000001,-35.113442565451,1999.9642751197807
1999.7333333333331,-1.9581416,-5.4531358,-35.279596257358,2000.054096714579
1999.8666666666666,-2.5706919999999998,-5.496157899999999,-35.321328124579,2000.155266382616
2000.0,-2.4592631999999996,-5.3401477,-35.169996670477,2000.2934941928243
2000.1999999999998,-2.4105936,-5.179620699999999,-35.014283875207,2000.500835908136
2000.3999999999999,-1.9491919999999998,-5.3228638,-35.153231114638,2000.7081776234481
2000.6,-1.7890936,-5.459095,-35.28537674095,2000.91551933876
2000.8,-2.3022039999999997,-5.639401,-35.46027536401,2001.1228610540722
2001.0,-2.5010839999999996,-5.5782973,-35.401004163973,2001.2984628134852
2001.1999999999998,-3.4616743999999997,-5.3779573,-35.206672360573,2001.474064572898
2001.3999999999999,-2.4095991999999993,-5.1255289,-34.961814288289,2001.649666332311
2001.6,-1.8129591999999999,-5.2908094000000006,-35.122138026094,2001.825268091724
2001.8,-2.0973576,-5.648416299999999,-35.469020295163,2002.000869851137
2002.0,-2.33198,-5.4280933000000005,-35.255304781933,2002.1790090480768
2002.1428571428573,-2.2107191999999998,-5.4210304,-35.248453698304,2002.3298136321205
2002.2857142857144,-2.9425975999999996,-5.2767856,-35.108534799856,2002.480618216164
2002.4285714285716,-2.5040671999999997,-5.0313691,-34.870478340691,2002.6314228002075
2002.5714285714287,-2.5259439999999995,-5.0964796,-34.933636176796,2002.7822273842507
2002.7142857142858,-1.2173136,-5.147566299999999,-34.983190786663,2002.9330319682942
2002.857142857143,-1.9570911999999998,-5.443322800000001,-35.270077549228,2003.0838365523377
2003.0,-2.4831847999999996,-5.5772956,-35.400032504956,2003.2363319082763
2003.125,-2.7118407999999996,-5.487193600000001,-35.312632663936,2003.3761762512813
2003.25,-2.6581991999999994,-5.2557499,-35.088129960498996,2003.5160205942864
2003.375,-2.1719375999999997,-5.190639399999999,-35.024972124394,2003.6558649372912
2003.5,-2.1381279999999996,-5.3529148,-35.182380885148,2003.7957092802963
2003.625,-1.8368247999999998,-5.5873126,-35.409749095125996,2003.935553623301
2003.75,-1.9810127999999998,-5.6884843,-35.507886655842995,2004.0753979663061
2003.875,-2.3867279999999997,-5.629383999999999,-35.45055877384,2004.2087761503467
2004.0,-2.7745439999999997,-5.425037199999999,-35.252340334372,2004.3305153061879
2004.1428571428573,-3.0659031999999997,-5.2767856,-35.108534799856,2004.4696457700065
2004.2857142857144,-2.8232695999999997,-5.0954779,-34.932664517778996,2004.6087762338252
2004.4285714285716,-2.5617423999999995,-5.163593499999999,-34.998737330935,2004.7479066976437
2004.5714285714287,-2.6283671999999996,-5.3539164999999995,-35.183352544165,2004.887037161462
2004.7142857142858,-2.3012095999999995,-5.639401,-35.46027536401,2005.0261676252806
2004.857142857143,-2.3290527999999995,-5.6914894,-35.510801632894,2005.1652980408624
2005.0,-2.2265735999999996,-5.6667019000000005,-35.486757510019,2005.2851337386578
2005.1428571428573,-2.2196687999999996,-5.4921511,-35.317441488511,2005.4049694364535
2005.2857142857144,-2.7059303999999993,-5.3128468,-35.143514524467996,2005.524805134249
2005.4285714285716,-2.6542215999999996,-5.1195186999999995,-34.955984334187,2005.6446408320444
2005.5714285714287,-2.5040671999999997,-5.315851899999999,-35.146429501518995,2005.7644765298398
