,Identifier 1,d13c,d18o,ref_H,ref_age,age_lin,age_absolute,path,idx,d13c_ma,d18o_ma,depth
35,B- 26A,-2.87214327205707,25.034847133575184,,,67.91666666666666,1996.6356666666668,B,26,-2.8221694452463595,25.198849975008994,-154.0
36,B- 25A,-2.377100146356179,25.03681489515954,,,68.05555555555553,1996.7745555555555,B,25,-2.578778278108409,24.951199446817085,-154.0
37,B- 24A,-2.487091415911978,24.781936311716528,,,68.19444444444441,1996.9134444444444,B,24,-2.404604118702562,24.992470888083435,-154.0
38,B- 23A,-2.349620793839528,25.158661457374233,,68.3333333333333,68.3333333333333,1997.0523333333333,B,23,-2.3603357194091203,25.082335978725453,-154.0
39,B- 22A,-2.244294948475854,25.3064101670856,,,68.49999999999997,1997.219,B,22,-2.38236724698662,25.313624961370753,-154.0
40,B- 21A,-2.553185998644478,25.47580325965243,,,68.66666666666663,1997.3856666666666,B,21,,,-154.0
41,B- 20A,,,,,68.8333333333333,1997.5523333333333,B,20,,,-154.0
42,B- 19A,-3.5284399766030905,25.48444360777681,,,68.99999999999997,1997.719,B,19,,,-154.0
43,B- 18A,-3.179386269481785,25.215263072560724,,,69.16666666666663,1997.8856666666666,B,18,-3.165033378336332,25.25418980928569,-154.0
44,B- 17A,-2.7872738889241195,25.062862747519546,,69.3333333333333,69.3333333333333,1998.0523333333333,B,17,-2.8902988200099684,25.05499236423042,-154.0
45,B- 16A,-2.7042363016240007,24.88685127261099,,,69.4583333333333,1998.1773333333333,B,16,-2.6172288841766798,25.058637306482833,-154.0
46,B- 15A,-2.3601764619819194,25.22619789931796,,,69.5833333333333,1998.3023333333333,B,15,-2.5075720954684058,24.99280241223209,-154.0
47,B- 14A,-2.458303522799296,24.865358064767317,,,69.7083333333333,1998.4273333333333,B,14,-2.457620070959228,25.17635655880882,-154.0
48,B- 13A,-2.554380228096469,25.43751371234118,,,69.8333333333333,1998.5523333333333,B,13,-2.6415083967522826,25.249064445947454,-154.0
49,B- 12A,-2.9118414393610825,25.444321560733858,,,69.9583333333333,1998.6773333333333,B,12,-2.8390778344675436,25.41555305544789,-154.0
50,B- 11A,-3.0510118359450797,25.364823893268646,,,70.0833333333333,1998.8023333333333,B,11,-2.9987606413421997,25.3796871154254,-154.0
51,B- 10A,-3.0334286487204363,25.329915892273704,,,70.2083333333333,1998.9273333333333,B,10,-3.040481324304458,25.308232389568698,-154.0
52,B- 9A,-3.037003488247858,25.229957383163736,,70.3333333333333,70.3333333333333,1999.0523333333333,B,9,-2.913480771184379,25.237301306104786,-154.0
